ground.truth,label
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
nominal,normal.
