label,v1,v2,v3,v4,v5,v6
anomaly,3.0391,1.1311,-0.5465,2.2422,9.6566,0.6784
nominal,-0.0346,-0.3375,-0.1408,0.9894,0.7887,1.3487
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.2217,-0.3021,-0.1859,-0.8596,-0.3779,-0.9457
nominal,3.0575,-0.4348,-0.3211,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.075,-0.4392,0.2649,-0.8596,-0.3779,-0.9457
nominal,0.1511,0.2641,0.4002,1.0025,-0.3779,1.5712
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,0.0476,0.0916,1.6624,1.1485,-0.3779,0.9191
nominal,0.0141,0.1004,-0.2761,0.6763,1.513,1.105
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,2.0946,4.9797,-0.2761,1.2814,-0.3779,0.3005
nominal,0.2085,-0.4525,-0.1859,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.2634,-0.4127,1.0764,0.1691,-0.3779,1.4737
nominal,-0.0547,-0.4525,-0.231,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.0976,-0.3596,-0.3662,0.589,-0.3779,1.3335
nominal,1.5956,-0.4481,-0.3662,-0.8596,-0.3779,-0.9457
nominal,-0.0234,-0.4481,-0.3662,-0.8596,-0.3779,-0.9457
nominal,-0.0044,-0.1561,1.3469,-0.8596,-0.3779,-0.9457
nominal,-0.4255,-0.4215,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,0.2754,-0.1163,0.0395,0.8299,0.4906,1.2208
nominal,1.278,1.6708,-0.1408,1.8,-0.3779,0.2944
nominal,-0.0659,-0.4127,-0.1408,-0.8596,-0.3779,-0.9457
nominal,-0.251,-0.2977,0.3551,0.8016,0.8503,0.5565
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,0.2588,0.5163,0.31,3.5063,-0.3779,0.2823
nominal,-0.5149,-0.4437,0.7157,0.1092,-0.3779,1.0806
nominal,1.0456,0.0385,-0.4113,0.8367,2.8836,1.108
nominal,0.3715,0.503,0.1748,0.8257,0.6116,1.4158
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,0.6755,1.8522,-0.1859,-0.8596,-0.3779,-0.9457
nominal,-0.0019,-0.4038,0.4452,-0.8596,-0.3779,-0.9457
nominal,-0.428,-0.4392,0.2198,0.1924,0.5577,1.0197
nominal,0.3826,1.2152,-0.0056,0.5,-0.3779,0.7424
nominal,-0.5554,-0.4525,1.8428,-0.8596,-0.3779,-0.9457
nominal,0.5241,-0.4525,-0.231,-0.8596,-0.3779,-0.9457
nominal,0.0049,-0.4525,-0.3211,0.5738,-0.3779,0.6174
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,0.8168,-0.0588,-0.1859,1.3941,1.2654,1.4005
nominal,-0.4299,-0.3729,2.3387,0.8118,-0.3779,1.0197
nominal,0.2759,0.2509,0.1748,-0.446,2.5397,0.4468
nominal,0.7815,0.9896,0.2649,1.1822,-0.3779,0.8917
nominal,7.8646,-0.4525,-0.5015,-0.8596,-0.3779,-0.9457
nominal,0.7512,3.6659,-0.4113,0.9299,-0.3779,0.6022
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.2744,-0.2623,-0.231,-0.1988,-0.3779,0.785
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.1338,-0.4348,0.6707,-0.8596,-0.3779,-0.9457
nominal,-0.2121,-0.3906,1.2116,0.4561,0.1006,1.0105
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,1.467,1.9761,-0.231,2.0147,-0.3779,0.5839
nominal,-0.0015,-0.4348,0.1297,0.6278,0.5963,1.0776
nominal,0.1314,-0.4215,-0.3662,1.5337,-0.3779,1.4066
nominal,0.4568,-0.0057,0.4002,1.0308,-0.3779,1.0014
nominal,-0.1367,-0.3994,0.5354,0.5957,0.696,0.913
