label,x1,x2,x3,x4,x5,x6,x7,x8
nominal,19.8,14.0,1019.6,8.4,9.9,15.9,28.9,14.0
nominal,26.8,22.2,1006.2,8.1,10.9,19.0,34.0,21.0
nominal,14.7,7.9,1009.9,8.1,14.1,22.0,21.0,9.0
nominal,30.6,22.7,1015.1,12.6,9.3,17.1,42.1,19.0
nominal,37.2,30.2,1012.2,10.7,8.1,17.1,50.0,30.9
nominal,36.3,30.1,1002.8,9.7,6.0,17.1,43.0,30.9
nominal,14.9,10.8,1025.6,8.0,19.8,26.0,32.0,7.0
nominal,10.4,5.3,1039.9,4.8,14.7,19.0,12.9,9.0
nominal,19.7,13.6,1019.1,11.8,5.0,10.1,37.0,10.9
nominal,23.9,20.8,1016.4,4.3,5.1,10.1,34.0,15.1
nominal,18.4,12.5,1022.8,7.8,18.7,26.0,35.1,9.0
nominal,7.0,-0.1,1032.4,9.6,10.7,22.0,18.0,1.0
nominal,17.8,11.9,1018.3,7.5,10.1,22.9,23.0,10.0
nominal,8.5,-0.8,1031.4,8.5,12.7,22.0,16.0,0.0
nominal,10.2,2.7,1032.0,6.9,13.5,22.0,17.1,6.1
anomaly,6.4,0.7,1031.6,5.4,18.0,22.0,18.0,0.0
nominal,2.8,-2.8,1039.0,4.9,14.2,18.1,7.0,1.0
nominal,8.2,3.3,1032.6,8.1,10.0,13.0,17.1,3.0
nominal,9.0,4.8,1021.8,3.5,22.1,31.1,18.0,1.9
nominal,-2.5,-9.8,1041.6,11.5,10.9,13.0,1.9,-8.0
nominal,-2.6,-11.8,1032.2,14.9,12.1,22.9,12.0,-11.0
nominal,12.1,6.8,1020.7,10.8,7.8,13.0,30.9,3.9
nominal,10.4,3.9,1029.1,11.4,8.3,17.1,21.0,0.0
nominal,1.3,-5.9,1032.5,9.1,11.0,17.1,15.1,-7.1
nominal,5.6,0.2,1020.8,5.5,9.7,12.0,16.0,-5.1
nominal,20.9,15.6,1008.7,10.9,9.7,17.1,36.0,9.0
nominal,23.3,18.0,1007.5,14.2,12.8,26.0,34.0,14.0
nominal,17.7,10.5,1018.5,12.5,6.6,17.1,39.0,6.1
nominal,13.0,5.8,1026.7,13.8,13.1,26.0,30.9,-0.9
nominal,30.7,26.0,1012.9,11.6,12.9,17.1,43.0,19.9
nominal,25.3,21.9,1010.2,7.5,12.0,22.0,42.1,14.0
nominal,7.9,4.0,1025.1,6.2,14.7,22.0,12.9,3.9
nominal,7.5,2.8,1020.9,6.7,6.8,11.1,17.1,1.9
nominal,15.3,9.2,1011.0,10.0,7.0,12.0,35.1,1.0
nominal,24.8,16.1,1019.3,12.5,9.6,17.1,32.0,16.0
nominal,28.8,20.8,1020.8,12.5,8.3,15.9,44.1,15.1
nominal,38.0,33.0,1014.1,12.8,13.6,22.0,44.1,26.1
nominal,17.3,9.7,1023.5,8.7,8.5,14.0,25.0,12.0
nominal,29.4,28.0,1025.6,6.8,5.0,10.1,34.0,26.1
anomaly,34.8,32.8,1019.7,8.2,9.0,10.1,42.1,30.9
nominal,33.4,29.4,1017.2,8.5,14.0,28.0,43.0,25.0
nominal,25.2,18.5,1028.6,9.1,7.4,17.1,37.0,17.1
nominal,33.0,29.0,1023.2,9.6,4.6,10.1,39.0,30.0
nominal,29.4,26.8,1024.0,7.6,12.8,17.1,34.0,26.1
nominal,21.6,17.3,1032.5,12.4,8.3,17.1,28.0,14.0
nominal,24.3,20.3,1027.9,11.1,3.5,13.0,37.0,17.1
nominal,35.0,30.5,1023.8,11.1,7.7,12.0,44.1,28.9
nominal,42.3,37.3,1013.5,7.4,1.9,8.9,57.9,30.9
nominal,41.9,36.1,1010.4,8.3,7.0,13.0,50.0,34.0
nominal,35.2,31.5,1020.8,10.0,8.3,22.0,46.0,28.9
nominal,30.0,27.3,1019.0,8.6,17.6,22.0,35.1,25.0
nominal,26.7,20.9,1025.1,10.4,10.1,15.0,32.0,21.0
nominal,24.4,18.0,1025.1,10.4,7.7,13.0,30.0,18.0
nominal,30.9,25.5,1020.1,10.9,4.6,15.9,39.0,26.1
nominal,28.0,23.7,1028.2,5.4,11.7,17.1,33.1,19.0
nominal,13.9,5.3,1034.3,9.5,9.6,22.0,24.1,7.0
nominal,27.7,21.5,1022.5,11.1,8.8,14.0,37.0,23.0
nominal,27.6,21.3,1022.7,8.4,7.9,13.0,36.0,21.0
nominal,28.6,21.8,1026.3,11.1,8.0,10.1,39.9,21.9
nominal,32.5,26.2,1025.8,9.6,10.7,20.0,39.9,28.0
nominal,44.7,36.7,1011.9,10.2,16.3,26.0,68.0,33.1
nominal,36.3,33.4,1012.3,6.0,12.5,22.0,48.9,32.0
nominal,54.1,45.5,998.7,9.2,18.9,35.0,68.0,46.0
nominal,45.3,34.1,1011.5,11.5,11.5,22.0,59.0,34.0
anomaly,46.2,38.8,1001.4,11.1,13.3,26.0,63.0,37.0
nominal,50.7,34.3,1008.9,12.3,6.3,26.0,69.1,37.9
nominal,37.8,30.0,1020.2,9.6,9.8,22.9,48.9,28.9
nominal,40.9,31.4,1019.2,10.4,7.0,15.9,46.9,35.1
nominal,43.0,31.9,1020.4,11.4,5.8,13.0,53.1,36.0
nominal,43.1,32.9,1023.0,8.0,3.8,13.0,57.0,30.0
nominal,45.6,34.0,1015.2,12.5,10.1,20.0,57.9,33.1
nominal,52.3,34.9,1008.1,14.3,9.9,22.0,68.0,39.9
nominal,55.3,37.7,1013.6,12.3,7.7,22.0,70.0,45.0
nominal,50.5,33.2,1016.7,9.8,5.3,15.9,64.0,35.1
nominal,49.4,29.0,1021.3,11.2,8.6,13.0,68.0,34.0
nominal,55.7,36.3,1012.2,9.9,6.2,14.0,73.9,37.9
nominal,59.9,43.9,1003.5,9.3,8.0,17.1,73.9,48.0
anomaly,44.4,38.3,1003.3,5.5,20.5,30.1,70.0,33.1
nominal,36.9,30.5,1021.4,11.8,17.0,26.0,45.0,33.1
nominal,42.1,33.9,1019.5,11.3,9.2,22.0,62.1,30.9
nominal,53.7,39.5,1010.3,11.8,15.4,30.1,61.0,44.1
nominal,41.8,27.0,1021.4,14.1,12.0,22.0,54.0,30.0
nominal,46.8,31.5,1023.9,13.5,10.2,17.1,64.0,34.0
nominal,56.9,45.5,1014.1,11.7,3.0,14.0,72.0,48.0
nominal,59.5,38.9,1018.6,13.0,8.1,15.9,77.0,41.0
nominal,56.0,36.1,1019.5,13.2,12.8,17.1,75.9,41.0
nominal,69.7,47.3,1013.6,13.3,14.4,26.0,88.0,54.0
nominal,62.8,43.3,1022.0,9.8,9.5,18.1,73.0,54.0
nominal,60.5,39.8,1024.1,10.9,7.6,15.9,73.0,46.9
nominal,64.1,41.8,1017.3,13.9,10.1,17.1,78.1,51.1
anomaly,66.0,46.4,1007.9,11.5,14.1,26.0,77.0,54.0
nominal,61.6,42.0,1010.7,12.1,8.7,15.9,82.9,45.0
nominal,74.8,64.1,1011.0,12.6,16.3,30.1,91.0,61.0
nominal,79.0,69.3,1011.6,7.1,19.2,26.0,86.0,72.0
nominal,61.2,54.3,1021.8,12.3,9.1,17.1,68.0,54.0
nominal,61.2,52.7,1021.6,11.8,4.7,10.1,70.0,52.0
nominal,63.6,55.9,1021.0,13.0,4.3,10.1,75.9,51.1
nominal,70.0,61.9,1018.7,11.6,7.3,10.1,84.9,57.0
nominal,71.5,62.2,1014.6,10.6,6.4,15.0,84.0,57.9
nominal,71.7,64.6,1014.8,9.5,4.6,13.0,82.0,62.1
nominal,70.5,62.7,1008.2,13.8,11.9,22.9,77.0,64.0
nominal,57.5,51.7,1015.6,10.3,2.8,13.0,70.0,53.1
nominal,53.7,45.0,1021.5,11.4,2.4,13.0,64.9,43.0
nominal,67.0,54.9,1016.1,12.8,9.4,15.0,77.0,57.0
nominal,72.0,60.3,1013.6,12.1,7.0,8.9,82.0,60.1
nominal,71.2,65.0,1011.3,10.8,11.3,15.9,80.1,64.0
nominal,75.9,68.1,1008.7,11.6,10.6,22.0,86.0,66.9
nominal,70.5,61.5,1015.3,14.9,3.4,8.9,78.1,62.1
nominal,68.8,61.8,1020.4,10.5,3.4,13.0,73.9,62.1
nominal,69.5,61.4,1019.4,13.3,3.7,12.0,79.0,63.0
nominal,74.5,65.4,1014.8,11.8,3.0,12.0,88.0,64.0
nominal,68.4,63.7,1018.0,11.1,11.7,15.0,75.9,62.1
nominal,71.8,66.6,1019.1,10.2,1.5,8.9,82.9,63.0
nominal,74.6,68.3,1014.3,9.4,0.4,5.1,84.9,64.0
nominal,77.5,72.0,1007.7,11.1,5.4,13.0,84.9,70.0
nominal,69.2,62.6,1012.7,12.3,1.4,8.9,84.0,55.9
nominal,75.3,65.7,1010.0,13.6,11.5,17.1,87.1,64.9
nominal,78.5,69.6,1007.5,14.9,13.1,22.0,90.0,66.0
nominal,73.9,69.7,1016.8,5.2,7.2,8.9,84.9,68.0
nominal,82.1,74.7,1009.5,9.7,10.6,14.0,95.0,73.9
nominal,74.6,69.6,1002.3,10.4,6.3,20.0,89.1,64.9
nominal,81.7,74.1,1007.3,13.3,9.2,18.1,90.0,73.9
nominal,85.5,75.8,1012.8,11.8,13.5,18.1,96.1,77.0
nominal,84.8,75.8,1017.3,12.8,6.0,20.0,93.0,75.9
nominal,82.6,72.8,1019.8,13.7,9.6,13.0,93.9,73.9
nominal,86.6,75.9,1015.9,11.9,9.1,13.0,95.0,78.1
nominal,85.0,76.1,1013.2,6.7,8.7,13.0,91.9,75.0
nominal,81.8,73.4,1011.5,11.0,7.2,15.9,90.0,73.0
anomaly,82.0,75.1,1013.3,9.6,7.4,19.0,90.0,75.9
nominal,74.5,59.0,1022.4,14.9,7.9,13.0,84.0,63.0
nominal,74.0,61.7,1019.0,14.9,3.4,8.9,81.0,64.9
nominal,75.1,66.3,1015.6,11.1,4.2,11.1,86.0,64.0
nominal,73.2,63.2,1016.2,11.9,2.6,8.9,82.9,64.0
nominal,72.8,63.1,1015.3,11.7,3.6,14.0,84.0,60.1
anomaly,76.0,64.5,1009.1,11.2,11.5,22.0,87.1,64.9
nominal,81.5,69.1,1005.6,10.1,9.0,22.9,91.9,71.1
nominal,78.0,62.4,1011.8,11.3,6.7,13.0,90.0,64.9
