label,X1,X2,V2,V3,V4,V5,V6,V7,V8
nominal,1,0,0.465,0.355,0.12,0.5315,0.2725,0.097,0.1395
nominal,0,1,0.725,0.55,0.22,2.0495,0.7735,0.4405,0.655
nominal,1,0,0.61,0.45,0.15,0.871,0.407,0.1835,0.25
nominal,0,1,0.515,0.4,0.135,0.636,0.3055,0.1215,0.1855
nominal,0,1,0.55,0.425,0.145,0.89,0.4325,0.171,0.236
nominal,1,0,0.47,0.37,0.105,0.4665,0.2025,0.1015,0.155
nominal,1,0,0.59,0.435,0.165,0.9765,0.4525,0.2395,0.235
nominal,1,0,0.5,0.4,0.125,0.5975,0.27,0.1275,0.166
nominal,1,0,0.63,0.525,0.195,1.3135,0.4935,0.2565,0.465
nominal,0,0,0.625,0.49,0.145,0.92,0.437,0.1735,0.28
nominal,0,0,0.575,0.465,0.175,1.099,0.4735,0.202,0.35
nominal,0,0,0.59,0.44,0.14,1.007,0.4775,0.2105,0.2925
nominal,1,0,0.45,0.355,0.115,0.478,0.18,0.1185,0.155
nominal,0,1,0.515,0.4,0.135,0.6965,0.32,0.1255,0.175
nominal,0,1,0.58,0.44,0.145,0.7905,0.3525,0.1645,0.242
nominal,0,1,0.455,0.365,0.135,0.441,0.1515,0.1165,0.145
nominal,0,1,0.545,0.43,0.14,0.772,0.289,0.19,0.2615
nominal,0,1,0.29,0.205,0.07,0.0975,0.036,0.019,0.035
nominal,0,1,0.65,0.52,0.15,1.238,0.5495,0.296,0.3305
nominal,1,0,0.4,0.315,0.105,0.287,0.1135,0.037,0.113
nominal,0,1,0.525,0.4,0.14,0.6055,0.2605,0.108,0.21
nominal,1,0,0.55,0.45,0.15,1.0145,0.407,0.2015,0.2875
nominal,1,0,0.67,0.525,0.18,1.4915,0.728,0.343,0.381
nominal,1,0,0.375,0.28,0.095,0.2225,0.0875,0.043,0.08
anomaly,1,0,0.675,0.555,0.2,1.4385,0.545,0.2665,0.465
nominal,0,1,0.37,0.29,0.1,0.25,0.1025,0.0505,0.085
nominal,1,0,0.61,0.475,0.155,0.983,0.4565,0.228,0.266
nominal,0,1,0.51,0.395,0.105,0.5525,0.234,0.127,0.165
nominal,0,1,0.52,0.385,0.115,0.581,0.2555,0.156,0.143
nominal,0,1,0.425,0.325,0.11,0.405,0.1695,0.092,0.1065
nominal,0,1,0.5,0.38,0.135,0.5285,0.226,0.123,0.209
nominal,0,1,0.5,0.385,0.11,0.596,0.3015,0.104,0.151
nominal,1,0,0.6,0.47,0.165,1.059,0.504,0.241,0.275
nominal,0,0,0.645,0.49,0.16,1.144,0.5015,0.289,0.319
nominal,0,0,0.44,0.34,0.1,0.451,0.188,0.087,0.13
nominal,1,0,0.625,0.495,0.18,1.0815,0.4715,0.254,0.3135
nominal,1,0,0.465,0.355,0.105,0.4795,0.227,0.124,0.125
nominal,1,0,0.565,0.435,0.15,0.99,0.5795,0.1825,0.206
nominal,1,0,0.625,0.48,0.18,1.223,0.565,0.2975,0.3375
nominal,0,1,0.485,0.375,0.13,0.5535,0.266,0.112,0.157
nominal,0,1,0.575,0.45,0.135,0.807,0.3615,0.176,0.254
nominal,0,0,0.655,0.52,0.2,1.5475,0.713,0.314,0.466
nominal,0,0,0.52,0.405,0.115,0.776,0.32,0.1845,0.22
nominal,1,0,0.625,0.48,0.175,1.065,0.4865,0.259,0.285
nominal,1,0,0.605,0.475,0.175,1.2525,0.5575,0.3055,0.343
nominal,1,0,0.555,0.435,0.145,0.9205,0.404,0.2275,0.255
nominal,0,0,0.545,0.41,0.125,0.654,0.2945,0.1315,0.205
nominal,1,0,0.7,0.525,0.175,1.7585,0.8745,0.3615,0.47
nominal,0,1,0.485,0.375,0.125,0.562,0.2505,0.1345,0.1525
nominal,0,1,0.515,0.4,0.125,0.5925,0.265,0.1175,0.168
nominal,0,0,0.62,0.435,0.155,1.012,0.477,0.236,0.275
nominal,0,1,0.41,0.3,0.09,0.28,0.141,0.0575,0.075
nominal,1,0,0.61,0.47,0.17,1.1185,0.5225,0.2405,0.31
nominal,1,0,0.45,0.355,0.12,0.3955,0.147,0.0765,0.145
anomaly,1,0,0.64,0.51,0.175,1.368,0.515,0.266,0.57
nominal,0,1,0.535,0.42,0.145,0.6885,0.273,0.1515,0.237
nominal,0,0,0.675,0.525,0.17,1.711,0.8365,0.352,0.475
nominal,1,0,0.57,0.445,0.14,1.0635,0.5265,0.2195,0.24
nominal,0,1,0.505,0.395,0.105,0.551,0.248,0.103,0.171
nominal,0,0,0.565,0.44,0.135,0.83,0.393,0.1735,0.238
nominal,0,1,0.475,0.365,0.115,0.499,0.232,0.0885,0.156
nominal,0,1,0.57,0.425,0.14,0.7655,0.331,0.14,0.24
nominal,1,0,0.59,0.405,0.15,0.853,0.326,0.2615,0.245
nominal,0,1,0.42,0.325,0.115,0.354,0.1625,0.064,0.105
nominal,1,0,0.715,0.545,0.18,1.7405,0.871,0.347,0.449
nominal,1,0,0.65,0.525,0.185,1.622,0.6645,0.3225,0.477
nominal,0,1,0.545,0.435,0.135,0.7715,0.372,0.148,0.227
nominal,1,0,0.55,0.44,0.155,0.9155,0.3645,0.195,0.25
nominal,1,0,0.6,0.45,0.16,1.142,0.539,0.225,0.307
nominal,1,0,0.7,0.565,0.18,1.751,0.895,0.3355,0.446
nominal,1,0,0.585,0.46,0.185,0.922,0.3635,0.213,0.285
nominal,1,0,0.525,0.395,0.13,0.7635,0.3375,0.1425,0.225
nominal,1,0,0.575,0.455,0.135,0.907,0.4245,0.197,0.26
nominal,0,1,0.605,0.49,0.165,1.071,0.482,0.1935,0.352
nominal,0,1,0.48,0.38,0.125,0.6245,0.3395,0.1085,0.1665
nominal,0,0,0.58,0.45,0.17,0.9705,0.4615,0.232,0.248
nominal,0,0,0.45,0.355,0.105,0.5225,0.237,0.1165,0.145
nominal,0,1,0.555,0.395,0.13,0.5585,0.222,0.1245,0.17
nominal,0,1,0.49,0.37,0.11,0.538,0.271,0.1035,0.139
nominal,0,1,0.425,0.3,0.095,0.3515,0.141,0.0775,0.12
nominal,0,1,0.335,0.24,0.095,0.17,0.062,0.039,0.055
nominal,0,1,0.45,0.355,0.105,0.4445,0.197,0.093,0.1335
nominal,1,0,0.48,0.355,0.16,0.464,0.221,0.106,0.239
nominal,1,0,0.63,0.51,0.175,1.3415,0.6575,0.262,0.375
nominal,1,0,0.46,0.355,0.14,0.491,0.207,0.115,0.174
nominal,0,0,0.58,0.475,0.155,0.974,0.4305,0.23,0.285
nominal,0,0,0.625,0.485,0.175,1.3745,0.7335,0.2715,0.332
nominal,0,1,0.68,0.53,0.185,1.1095,0.439,0.245,0.34
nominal,0,1,0.55,0.445,0.11,0.7935,0.378,0.142,0.26
nominal,0,0,0.615,0.475,0.155,1.115,0.484,0.2115,0.355
nominal,0,1,0.515,0.39,0.11,0.531,0.2415,0.098,0.1615
nominal,0,0,0.53,0.42,0.135,0.677,0.2565,0.1415,0.21
nominal,1,0,0.545,0.41,0.12,0.793,0.434,0.1405,0.19
nominal,1,0,0.615,0.505,0.165,1.167,0.4895,0.2955,0.345
