ground.truth,v1,v2,v3,v4,v5,v6
nominal,0.4257,-0.2711,-0.1859,0.6751,-0.3779,1.0379
nominal,0.5461,0.1314,-0.4564,-0.8596,-0.3779,-0.9457
nominal,-0.3755,-0.3994,1.6624,0.4379,-0.3779,0.5992
nominal,0.9081,0.1580,-0.1859,-0.8596,-0.3779,-0.9457
nominal,1.2036,0.5649,-0.3211,0.7438,-0.3779,0.9008
nominal,0.5049,0.1889,1.1215,1.0865,0.8109,0.9740
nominal,-0.2214,-0.4215,0.2649,1.1185,0.6477,1.4767
nominal,1.3158,5.0328,-0.4113,0.8928,-0.3779,0.4834
nominal,-0.1145,-0.4304,-0.1408,0.9261,1.3083,1.2695
nominal,-0.1233,-0.2711,0.3551,0.0953,-0.3779,1.5072
nominal,0.4607,0.0208,-0.1408,1.5244,-0.3779,0.9130
nominal,-0.0271,-0.4127,-0.1859,0.9805,1.3273,1.1080
nominal,0.5654,0.0120,-0.3211,1.5392,2.5001,1.2512
nominal,0.0058,-0.2711,-0.1408,0.2683,1.2348,0.9861
nominal,0.2512,-0.2888,-0.0957,0.1662,-0.3779,0.9983
nominal,4.7908,-0.4260,-0.5465,-0.8596,-0.3779,-0.9457
nominal,1.1067,3.2191,-0.0056,-0.8596,-0.3779,-0.9457
nominal,0.5601,0.1757,-0.1408,0.4447,0.3846,0.9496
nominal,0.6641,0.7330,-0.3211,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,1.1909,4.9531,-0.3211,1.5105,0.5796,0.6784
anomaly,0.0486,-0.3552,-0.3211,1.8358,-0.3779,1.3274
nominal,0.0056,-0.1030,2.4288,-0.8596,-0.3779,-0.9457
nominal,-0.0041,-0.4525,-0.1408,-0.8596,-0.3779,-0.9457
nominal,-0.2429,-0.3773,-0.4113,-0.8596,-0.3779,-0.9457
nominal,-0.2707,-0.4525,-0.1859,1.0400,-0.3779,0.9648
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,0.0337,-0.2446,-0.2310,0.5080,-0.3779,1.1050
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,0.0488,-0.3242,0.3551,1.1616,0.4449,1.1141
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,1.6610,-0.4525,-0.3662,-0.8596,-0.3779,-0.9457
nominal,0.6796,1.3214,0.2198,0.7540,-0.3779,0.8886
nominal,-0.2321,-0.4525,0.3551,-0.8596,-0.3779,-0.9457
nominal,0.0916,-0.0367,1.0313,1.2063,0.0298,1.4432
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
