label,x,y
nominal,2.297442,2.478650
nominal,0.862051,1.299343
nominal,4.398152,2.511202
anomaly,2.413560,3.931886
nominal,3.179836,2.857290
nominal,-0.783953,0.432076
anomaly,2.231622,0.286034
nominal,-0.493569,2.304290
nominal,6.662749,5.279124
nominal,2.105598,5.271618
nominal,2.033891,3.585893
nominal,1.973165,-1.144946
nominal,0.276036,2.918392
nominal,2.586534,0.654380
nominal,2.465014,2.043431
nominal,1.903284,-0.123061
nominal,3.555283,3.566787
nominal,2.843352,3.176112
nominal,2.437486,5.084842
nominal,5.214636,2.252704
nominal,3.958175,2.081410
nominal,4.674029,2.188640
nominal,0.962931,3.628452
nominal,3.941280,1.103302
nominal,2.725481,3.875844
nominal,3.584150,0.345561
nominal,2.426910,3.352414
nominal,-2.064816,0.384303
nominal,3.252799,0.952882
nominal,1.661891,2.562180
nominal,2.717021,-1.728179
nominal,1.374072,1.762412
nominal,0.972703,-2.672239
nominal,-1.935524,2.781552
nominal,2.458410,-1.370421
nominal,2.599547,3.037295
nominal,3.832232,4.841686
nominal,3.718011,5.422228
nominal,3.767800,2.758043
nominal,2.301420,3.864176
nominal,3.820281,3.015076
nominal,1.749684,4.891993
nominal,1.129731,3.981314
nominal,1.286703,2.807514
nominal,3.229377,1.361375
nominal,5.412266,3.546273
nominal,1.040112,2.742410
nominal,0.976782,2.403131
nominal,1.635053,4.097567
nominal,0.080025,3.614890
nominal,-0.146740,3.401101
nominal,0.503225,2.045843
nominal,1.545096,-0.643384
nominal,-0.588177,5.652635
nominal,1.406297,2.144682
nominal,2.874833,2.546042
nominal,3.381226,2.897363
nominal,3.254896,0.949368
nominal,2.074678,0.864973
nominal,-0.428419,0.707928
nominal,1.119857,3.076887
nominal,0.234441,2.721355
nominal,1.636066,3.282958
nominal,0.544980,-2.462954
nominal,3.907808,2.779822
anomaly,2.140991,0.390826
nominal,4.393758,0.503543
nominal,-0.893922,2.240896
nominal,4.539696,1.516864
anomaly,2.411059,2.143881
nominal,2.625015,1.777826
nominal,1.898509,0.725352
nominal,1.061877,6.276523
nominal,1.670005,2.889591
anomaly,0.735418,2.222268
anomaly,3.979934,0.322020
nominal,-2.314717,1.892268
nominal,0.266453,1.818492
nominal,-1.084926,1.421761
nominal,4.130069,5.568360
nominal,0.219344,-0.569074
nominal,-0.160060,4.429144
nominal,4.765046,5.342429
nominal,4.338127,0.057258
anomaly,-0.366857,4.366862
nominal,0.890365,4.195325
nominal,4.258799,0.653631
nominal,5.528348,3.974978
nominal,1.084614,1.000838
nominal,5.157657,6.712767
nominal,3.484734,2.875868
nominal,0.466769,-2.141090
anomaly,5.143717,3.547208
nominal,-0.127887,4.017331
nominal,4.932469,1.923736
nominal,0.855773,5.824201
nominal,2.882943,4.612626
nominal,4.429719,2.425211
anomaly,5.043943,3.408538
nominal,4.929031,2.144931
nominal,1.728490,4.788973
nominal,3.164013,1.341175
anomaly,2.315677,1.880332
nominal,0.956595,2.537112
