ground.truth,label
nominal,CYT
anomaly,VAC
nominal,NUC
nominal,CYT
nominal,CYT
nominal,MIT
nominal,MIT
nominal,CYT
nominal,NUC
nominal,NUC
nominal,NUC
nominal,CYT
nominal,CYT
nominal,CYT
nominal,NUC
nominal,CYT
nominal,NUC
nominal,MIT
nominal,NUC
nominal,CYT
nominal,CYT
nominal,CYT
nominal,NUC
nominal,NUC
nominal,MIT
nominal,NUC
nominal,MIT
nominal,NUC
nominal,MIT
nominal,CYT
nominal,CYT
nominal,CYT
nominal,NUC
nominal,CYT
nominal,MIT
nominal,NUC
nominal,MIT
nominal,NUC
nominal,CYT
nominal,NUC
anomaly,POX
nominal,MIT
nominal,CYT
nominal,CYT
nominal,MIT
nominal,CYT
nominal,CYT
nominal,NUC
anomaly,VAC
nominal,NUC
nominal,CYT
nominal,CYT
nominal,MIT
nominal,MIT
nominal,CYT
nominal,CYT
nominal,NUC
nominal,NUC
nominal,CYT
nominal,CYT
nominal,CYT
anomaly,VAC
nominal,CYT
nominal,NUC
nominal,NUC
anomaly,POX
nominal,CYT
nominal,NUC
nominal,NUC
nominal,NUC
nominal,MIT
nominal,CYT
nominal,CYT
nominal,MIT
nominal,NUC
nominal,CYT
nominal,NUC
nominal,NUC
nominal,MIT
nominal,MIT
nominal,NUC
nominal,MIT
anomaly,ERL
nominal,NUC
nominal,NUC
nominal,CYT
nominal,CYT
nominal,MIT
nominal,NUC
nominal,NUC
nominal,NUC
nominal,MIT
nominal,NUC
nominal,CYT
nominal,CYT
nominal,CYT
nominal,MIT
nominal,NUC
nominal,CYT
nominal,NUC
nominal,CYT
nominal,NUC
nominal,NUC
nominal,NUC
nominal,CYT
nominal,NUC
nominal,NUC
nominal,CYT
nominal,CYT
nominal,MIT
nominal,CYT
nominal,NUC
nominal,CYT
nominal,MIT
nominal,MIT
anomaly,POX
anomaly,VAC
nominal,MIT
anomaly,POX
nominal,CYT
nominal,MIT
nominal,MIT
nominal,MIT
nominal,NUC
nominal,CYT
nominal,CYT
nominal,NUC
nominal,CYT
nominal,NUC
nominal,NUC
nominal,NUC
nominal,NUC
nominal,NUC
nominal,NUC
anomaly,VAC
nominal,MIT
nominal,CYT
nominal,NUC
nominal,CYT
nominal,CYT
nominal,CYT
nominal,NUC
nominal,MIT
nominal,CYT
nominal,MIT
nominal,CYT
nominal,MIT
nominal,CYT
nominal,CYT
nominal,CYT
nominal,MIT
nominal,NUC
nominal,CYT
nominal,MIT
nominal,NUC
nominal,CYT
nominal,MIT
nominal,MIT
nominal,CYT
nominal,MIT
nominal,NUC
nominal,NUC
nominal,CYT
nominal,CYT
nominal,CYT
nominal,MIT
anomaly,POX
nominal,NUC
nominal,CYT
anomaly,VAC
nominal,CYT
nominal,CYT
nominal,NUC
nominal,CYT
nominal,MIT
nominal,CYT
nominal,CYT
nominal,MIT
nominal,NUC
nominal,CYT
nominal,CYT
nominal,MIT
nominal,NUC
anomaly,POX
nominal,NUC
nominal,NUC
nominal,MIT
nominal,CYT
nominal,NUC
nominal,NUC
